elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,10.7,94.7,1
2.0,12.8,94.9,1
3.0,13.9,94.9,1
4.0,14.8,94.8,1
5.01,7.3,94.8,1
6.01,6.5,94.8,1
7.01,9.8,94.5,1
8.01,6.2,94.5,1
9.01,4.9,94.4,1
10.01,12.3,94.4,1
11.01,14.9,94.3,1
12.01,12.3,94.3,1
13.02,8.4,94.3,1
14.02,9.2,94.2,1
15.02,8.1,94.1,1
16.02,10.5,94.3,1
17.02,11.5,94.2,1
18.02,15.3,94.2,1
19.02,9.1,94.1,1
20.02,7.9,94.3,1
21.03,11.9,94.2,1
22.03,6.3,94.1,1
23.03,9.9,94.0,1
24.03,9.4,94.0,1
25.03,10.0,94.0,1
26.04,16.6,92.7,1
27.04,7.2,92.7,1
28.04,9.3,92.7,1
29.04,6.4,92.2,1
30.04,6.4,92.2,1
31.04,8.1,92.2,1
32.04,8.2,92.2,1
33.05,8.3,92.2,1
34.05,6.2,92.2,1
35.05,6.3,92.2,1
36.05,8.5,92.2,1
37.05,8.2,92.2,1
38.05,12.4,92.2,1
39.05,12.3,92.2,1
40.06,7.1,92.2,1
41.06,7.9,92.2,1
42.06,13.9,92.0,1
43.06,12.3,92.0,1
44.06,9.1,92.0,1
45.06,10.1,91.8,1
46.06,6.3,91.8,1
47.06,10.2,91.7,1
48.06,7.1,91.6,1
49.06,10.7,91.6,1
50.07,7.6,91.6,1
51.07,9.3,91.4,1
52.07,7.3,91.3,1
53.07,9.6,91.4,1
54.07,8.5,91.3,1
55.07,6.5,91.3,1
56.08,5.6,91.3,1
57.08,7.7,91.3,1
58.08,11.8,92.2,1
59.08,8.8,92.2,1
60.08,8.0,92.2,1
61.08,7.7,92.2,1
62.08,8.2,92.2,1
63.08,6.8,92.2,1
64.09,7.0,92.2,1
65.09,9.7,92.2,1
66.09,10.2,92.2,1
67.09,6.7,92.1,1
68.09,7.3,92.1,1
69.1,11.0,92.5,1
70.1,11.2,92.4,1
71.1,9.5,92.4,1
72.1,5.9,92.2,1
73.1,8.3,92.3,1
74.1,6.4,92.2,1
75.1,11.1,92.3,1
76.1,16.0,92.3,1
77.11,8.6,92.2,1
78.11,8.8,92.2,1
79.11,8.6,92.3,1
80.11,7.7,92.3,1
81.11,6.4,92.3,1
82.11,10.7,92.3,1
83.11,6.2,92.2,1
84.12,7.6,92.2,1
85.12,7.3,92.3,1
86.12,8.0,92.3,1
87.12,9.8,92.3,1
88.12,10.2,92.2,1
89.12,10.7,91.7,1
90.12,11.7,91.7,1
91.13,6.6,91.6,1
92.13,9.4,91.7,1
93.13,10.5,91.9,1
94.13,7.8,91.8,1
95.13,6.5,91.8,1
96.13,9.7,91.7,1
97.13,5.5,91.7,1
98.14,10.6,91.7,1
99.14,10.0,91.8,1
100.14,9.3,91.6,1
101.14,10.4,91.5,1
102.14,8.7,91.6,1
103.14,6.6,91.6,1
104.14,6.9,91.6,1
105.14,5.3,91.6,1
106.15,9.3,91.5,1
107.15,5.8,91.6,1
108.15,13.2,91.6,1
109.15,11.1,91.7,1
110.15,8.4,91.7,1
111.15,6.0,91.5,1
112.15,12.8,91.6,1
113.15,25.4,91.7,1
114.16,10.9,91.7,1
