elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,13.1,92.8,1
2.0,10.9,92.8,1
3.0,17.9,93.0,1
4.0,14.6,92.9,1
5.01,5.9,92.9,1
6.01,6.2,92.9,1
7.01,6.8,92.9,1
8.01,8.7,92.9,1
9.01,5.3,92.9,1
10.01,10.6,93.0,1
11.01,12.7,92.8,1
12.01,9.4,92.8,1
13.02,14.0,93.4,1
14.02,13.0,93.4,1
15.02,7.0,93.3,1
16.02,6.7,93.3,1
17.03,28.3,93.4,1
18.03,20.9,93.5,1
19.03,5.3,93.5,1
20.03,11.3,93.3,1
21.03,5.6,93.4,1
22.03,23.4,93.4,1
23.03,13.4,93.4,1
24.03,9.6,93.4,1
25.03,18.4,93.5,1
26.03,15.7,93.5,1
27.03,15.6,93.8,1
28.04,19.7,93.8,1
29.04,19.1,93.8,1
30.04,16.2,93.3,1
31.04,13.4,93.1,1
32.04,10.1,93.1,1
33.04,8.5,93.1,1
34.04,8.7,93.1,1
35.04,13.6,93.2,1
36.04,19.8,93.2,1
37.05,18.1,93.1,1
38.05,11.4,93.1,1
39.05,8.0,92.9,1
40.05,12.0,93.0,1
41.05,10.1,93.0,1
42.05,7.9,92.8,1
43.05,7.2,92.9,1
44.05,7.0,92.9,1
45.06,6.4,92.9,1
46.06,9.2,92.9,1
47.06,12.0,92.9,1
48.06,6.6,92.8,1
49.06,10.2,92.8,1
50.06,12.1,92.8,1
51.07,17.4,92.9,1
52.07,5.8,92.8,1
53.07,7.4,92.8,1
54.07,6.1,93.0,1
55.08,6.7,92.9,1
56.08,8.8,92.9,1
57.08,6.3,92.8,1
58.08,21.9,92.9,1
59.08,9.8,92.9,1
60.08,10.7,92.9,1
61.08,10.9,92.9,1
62.09,9.1,93.0,1
63.09,9.7,92.9,1
64.09,8.8,92.9,1
65.09,14.3,93.2,1
66.09,19.1,93.2,1
67.09,13.9,93.2,1
68.09,11.9,93.2,1
69.1,13.5,93.1,1
70.1,9.4,93.1,1
71.1,19.1,93.1,1
72.1,7.7,93.1,1
73.1,14.6,93.1,1
74.1,12.3,93.0,1
75.1,12.2,93.0,1
76.11,12.8,92.9,1
77.11,7.6,92.9,1
78.11,9.4,92.9,1
79.11,7.6,93.0,1
80.11,11.5,92.9,1
81.11,8.1,92.9,1
82.11,8.6,92.9,1
83.12,10.0,93.1,1
84.12,11.8,93.2,1
85.12,5.8,93.1,1
86.12,11.6,93.0,1
87.12,10.9,92.9,1
88.12,10.0,92.9,1
89.12,6.3,92.9,1
90.12,9.2,92.9,1
91.12,8.3,92.9,1
92.13,8.5,93.0,1
93.13,6.4,93.0,1
94.13,5.9,92.9,1
95.13,10.4,92.9,1
96.13,8.9,92.9,1
97.13,6.6,93.0,1
98.13,6.8,92.8,1
99.13,9.6,92.8,1
100.14,9.5,92.8,1
101.14,16.2,92.8,1
102.14,11.1,92.8,1
103.14,15.0,92.9,1
104.14,9.0,92.9,1
105.14,5.0,92.8,1
106.14,8.2,92.8,1
107.14,6.7,92.9,1
108.14,10.3,93.1,1
109.15,7.5,93.0,1
110.15,7.0,93.0,1
111.15,8.3,92.9,1
112.15,9.9,92.8,1
113.15,7.3,92.8,1
114.15,10.7,92.9,1
115.15,6.7,92.6,1
116.16,11.7,92.6,1
117.16,7.9,92.6,1
118.16,7.5,92.5,1
119.16,6.5,92.6,1
120.16,9.2,92.6,1
121.16,7.4,92.6,1
122.16,12.5,92.6,1
123.17,7.2,92.5,1
124.17,9.3,92.6,1
125.17,12.4,92.5,1
126.17,15.1,93.0,1
127.17,9.8,93.0,1
128.17,6.9,92.9,1
129.17,9.8,93.0,1
130.18,7.4,92.9,1
131.18,7.8,92.9,1
132.18,8.8,92.8,1
133.18,14.5,92.8,1
134.18,13.7,92.8,1
135.18,13.2,92.8,1
136.18,9.2,92.7,1
