elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,11.0,90.8,1
2.0,9.1,90.7,1
3.01,9.2,90.8,1
4.01,10.0,90.8,1
5.01,10.7,90.7,1
6.01,7.4,90.7,1
7.01,8.4,90.7,1
8.01,9.5,90.5,1
9.01,5.8,90.6,1
10.01,8.0,90.5,1
11.02,8.5,90.5,1
12.02,9.6,90.5,1
13.02,15.8,90.5,1
14.02,11.5,90.5,1
15.02,6.3,90.5,1
16.02,8.4,90.6,1
17.02,7.1,90.5,1
18.03,12.0,90.5,1
19.03,12.8,90.6,1
20.03,8.1,90.3,1
21.03,8.2,90.3,1
22.03,7.6,90.2,1
23.03,14.7,90.4,1
24.03,8.0,90.4,1
25.03,8.5,90.3,1
26.04,9.7,90.2,1
27.04,8.1,90.2,1
28.04,9.7,90.3,1
29.04,7.4,90.2,1
30.04,10.8,90.2,1
31.04,8.6,90.2,1
32.04,9.5,89.9,1
33.04,5.9,89.8,1
34.05,6.2,89.8,1
35.05,8.6,89.8,1
36.05,7.2,89.8,1
37.05,10.3,89.8,1
38.05,13.1,89.8,1
39.05,6.4,89.8,1
40.05,9.1,89.7,1
41.05,8.3,89.8,1
42.05,6.9,89.7,1
43.05,5.1,89.7,1
44.06,9.3,89.9,1
45.06,13.2,89.8,1
46.06,16.4,89.8,1
47.06,15.7,89.7,1
48.06,8.6,89.7,1
49.06,11.7,89.7,1
50.06,11.4,89.7,1
51.06,8.6,89.7,1
52.07,9.7,89.7,1
53.07,9.6,89.7,1
54.07,5.7,89.7,1
55.07,7.7,89.7,1
56.07,6.3,89.7,1
57.07,8.1,89.7,1
58.07,8.3,89.4,1
59.07,7.4,89.4,1
60.08,6.7,89.6,1
61.08,5.4,89.5,1
62.08,15.2,89.4,1
63.08,12.0,89.4,1
64.08,7.9,89.4,1
65.08,10.3,89.3,1
66.08,5.6,89.4,1
67.08,7.8,89.4,1
68.08,14.8,90.3,1
69.08,14.2,90.5,1
70.09,17.6,90.4,1
71.09,6.8,90.3,1
72.09,5.4,90.3,1
73.09,13.5,90.4,1
74.09,10.0,90.3,1
75.09,8.9,90.4,1
76.09,17.8,90.5,1
77.09,10.6,90.5,1
78.09,13.7,90.4,1
79.1,9.6,90.3,1
80.1,15.0,90.4,1
81.1,6.4,90.3,1
82.1,8.5,90.3,1
83.1,9.1,90.3,1
84.1,7.3,90.2,1
85.11,10.4,90.2,1
86.11,8.0,90.3,1
87.11,8.8,90.2,1
88.11,8.5,90.2,1
89.11,10.0,90.2,1
90.11,10.8,90.3,1
91.11,14.2,90.3,1
92.11,10.5,90.4,1
93.11,6.1,90.3,1
94.12,7.8,90.4,1
95.12,7.5,90.3,1
96.12,6.3,90.2,1
97.12,10.1,90.2,1
98.12,7.6,90.2,1
99.13,8.2,90.1,1
100.13,8.1,90.1,1
101.13,10.3,90.2,1
102.13,6.7,90.2,1
103.13,10.9,90.2,1
104.13,5.9,90.2,1
105.13,8.9,90.1,1
106.13,7.1,90.2,1
107.14,8.4,90.1,1
108.14,5.1,90.2,1
109.14,7.5,90.1,1
110.14,11.1,90.0,1
111.14,13.3,89.9,1
112.14,11.6,89.7,1
113.15,10.0,89.7,1
