elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,8.8,90.0,1
2.0,6.4,89.9,1
3.0,13.2,89.9,1
4.0,19.6,90.0,1
5.0,11.8,89.7,1
6.01,11.1,89.7,1
7.01,8.8,89.9,1
8.01,8.5,89.8,1
9.01,7.0,89.8,1
10.01,4.9,89.8,1
11.01,8.4,89.9,1
12.01,6.9,90.0,1
13.01,7.4,89.9,1
14.01,5.0,89.9,1
15.02,8.8,89.9,1
16.02,10.5,90.0,1
17.02,12.7,89.9,1
18.02,7.5,90.0,1
19.02,9.6,89.9,1
20.02,6.6,89.9,1
21.03,8.7,89.9,1
22.03,8.1,89.9,1
23.03,6.9,90.0,1
24.03,9.3,89.9,1
25.03,7.2,89.9,1
26.04,8.1,89.9,1
27.04,5.7,89.9,1
28.04,8.6,89.9,1
29.04,29.3,90.0,1
30.04,9.9,90.0,1
31.04,8.2,90.0,1
32.04,9.0,89.9,1
33.04,9.1,89.9,1
34.05,6.3,89.9,1
35.05,7.8,89.9,1
36.05,14.9,89.9,1
37.05,13.4,89.9,1
38.05,7.0,89.8,1
39.05,6.9,89.8,1
40.05,5.1,89.8,1
41.05,12.2,90.0,1
42.06,10.2,89.8,1
43.06,9.7,89.8,1
44.06,10.4,89.8,1
45.06,9.8,89.8,1
46.06,7.1,89.8,1
47.06,9.7,89.8,1
48.06,6.9,89.8,1
49.07,7.5,89.8,1
50.07,7.6,89.8,1
51.07,4.9,89.8,1
52.07,4.2,89.8,1
53.07,18.6,89.8,1
54.07,11.7,89.8,1
55.08,8.6,89.8,1
56.08,20.7,89.8,1
57.08,9.4,89.7,1
58.08,11.4,89.7,1
59.08,7.0,89.7,1
60.08,6.6,89.7,1
61.08,7.4,89.7,1
62.09,6.2,89.7,1
63.09,5.8,89.7,1
64.09,6.2,89.7,1
65.09,8.7,89.9,1
66.09,9.2,89.8,1
67.09,6.7,89.7,1
68.09,11.2,89.7,1
69.1,17.0,89.8,1
70.1,8.6,89.7,1
71.1,7.8,89.7,1
72.1,8.9,89.7,1
73.1,5.9,89.7,1
74.1,10.0,89.7,1
75.1,7.1,89.7,1
76.11,7.7,89.7,1
77.11,5.7,89.7,1
78.11,8.1,89.7,1
79.11,9.2,89.7,1
80.11,6.6,89.7,1
81.11,15.8,89.7,1
82.12,9.4,89.7,1
83.12,8.4,89.7,1
84.12,6.5,89.7,1
85.12,5.4,89.7,1
86.12,7.2,89.7,1
87.12,6.0,89.7,1
88.12,6.1,89.5,1
89.13,10.1,89.5,1
90.13,10.0,89.4,1
91.13,5.9,89.4,1
92.13,9.7,89.3,1
93.13,10.5,89.3,1
94.13,10.3,89.4,1
95.13,11.3,89.3,1
96.14,7.0,89.4,1
97.14,15.3,89.6,1
98.14,8.0,89.5,1
99.14,5.2,89.5,1
100.14,8.4,89.5,1
101.15,10.9,89.5,1
102.15,12.4,89.5,1
103.15,7.1,89.5,1
104.15,5.4,89.5,1
105.15,8.0,89.5,1
106.15,11.0,89.5,1
107.15,7.4,89.5,1
108.16,8.2,89.5,1
109.16,6.7,89.5,1
110.16,10.2,89.5,1
111.16,7.6,89.5,1
112.16,7.8,89.5,1
113.16,9.8,89.6,1
114.16,17.2,89.5,1
115.17,6.2,89.5,1
116.17,10.7,89.4,1
117.17,7.2,89.4,1
118.17,7.9,89.4,1
119.17,9.6,89.4,1
120.17,9.2,89.4,1
121.17,7.4,89.4,1
122.17,9.0,89.5,1
123.18,9.4,89.5,1
124.18,5.2,89.5,1
125.18,8.9,89.5,1
126.18,6.0,89.5,1
127.18,6.7,89.3,1
128.18,9.6,89.2,1
129.18,5.6,89.2,1
130.19,10.2,89.1,1
131.19,10.9,89.2,1
132.19,9.1,89.1,1
133.19,10.3,89.0,1
134.19,13.8,89.0,1
135.19,7.8,89.1,1
136.19,6.7,89.1,1
137.19,4.5,89.0,1
138.2,8.6,89.2,1
139.2,14.8,89.1,1
140.2,9.3,89.2,1
141.2,6.8,89.1,1
142.2,9.7,89.1,1
143.2,7.6,89.1,1
144.2,11.7,89.0,1
145.2,8.1,89.1,1
146.21,10.0,89.1,1
147.21,14.0,89.0,1
148.21,7.0,88.9,1
149.21,10.7,89.0,1
