elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,9.4,93.1,2
2.0,13.3,93.8,2
3.0,7.3,93.7,2
4.0,15.0,93.8,2
5.0,11.5,93.9,2
6.01,10.8,93.9,2
7.01,8.2,93.9,2
8.01,8.3,93.9,2
9.01,10.4,93.9,2
10.01,11.2,93.8,2
11.01,16.6,93.7,2
12.01,4.9,93.7,2
13.01,7.1,93.6,2
14.01,7.4,93.6,2
15.02,6.7,93.6,2
16.02,7.1,93.6,2
17.02,8.4,93.6,2
18.02,30.9,93.7,2
19.02,25.5,93.7,2
20.02,8.9,93.7,2
21.02,7.9,93.7,2
22.03,9.4,93.7,2
23.03,9.7,93.6,2
24.03,14.9,93.5,2
25.03,9.0,93.5,2
26.03,11.6,93.7,2
27.03,8.7,93.7,2
28.03,12.3,93.7,2
29.04,11.1,93.7,2
30.04,5.2,93.6,2
31.04,11.8,93.6,2
32.04,9.5,93.4,2
33.04,16.9,93.6,2
34.04,9.4,93.5,2
35.04,24.3,93.7,2
36.04,13.4,93.6,2
37.04,36.8,93.7,2
38.04,19.2,93.7,2
39.05,11.6,93.7,2
40.05,18.4,94.0,2
41.05,11.2,94.0,2
42.05,13.7,93.9,2
43.05,17.8,93.9,2
44.05,13.6,93.8,2
45.05,10.4,93.7,2
46.06,11.4,93.7,2
47.06,9.9,93.7,2
48.06,12.2,93.7,2
49.06,5.9,93.6,2
50.06,9.1,93.5,2
51.06,9.4,93.5,2
52.06,5.9,93.6,2
53.07,7.7,93.6,2
54.07,7.8,93.6,2
55.07,11.4,93.6,2
56.07,8.2,93.6,2
57.07,7.7,93.6,2
58.08,9.5,93.7,2
59.08,7.5,93.7,2
60.08,9.5,93.6,2
61.08,6.7,93.6,2
62.08,6.4,93.6,2
63.08,15.5,93.6,2
64.08,7.8,93.6,2
65.08,7.3,93.6,2
66.08,6.4,93.6,2
67.09,6.8,93.6,2
68.09,7.7,93.6,2
69.09,6.9,93.6,2
70.09,7.4,93.6,2
71.09,6.3,93.6,2
72.09,7.9,93.4,2
73.09,6.2,93.5,2
74.1,5.5,93.5,2
75.1,10.5,93.5,2
76.1,13.6,93.5,2
77.1,10.0,93.5,2
78.1,5.2,93.4,2
79.1,5.9,93.4,2
80.1,8.3,93.5,2
81.11,8.2,93.5,2
82.11,8.4,93.6,2
83.11,7.9,93.5,2
84.11,8.2,93.5,2
85.11,7.1,93.5,2
86.11,5.8,93.5,2
87.11,8.4,93.6,2
88.11,6.1,93.5,2
89.11,6.3,93.5,2
90.12,6.4,93.5,2
91.12,9.0,93.5,2
92.12,6.7,93.5,2
93.12,9.3,93.6,2
94.12,9.7,93.6,2
95.12,7.3,93.5,2
96.12,6.8,93.5,2
97.12,7.7,93.5,2
98.12,8.7,93.5,2
99.13,5.6,93.5,2
100.13,6.4,93.5,2
101.13,6.2,93.4,2
102.13,7.7,93.5,2
103.13,6.4,93.4,2
104.13,7.8,93.5,2
105.13,8.3,93.3,2
106.14,8.6,93.4,2
107.14,8.2,93.4,2
108.14,14.7,93.5,2
109.14,11.7,93.5,2
110.14,7.5,93.4,2
111.14,7.3,93.4,2
112.14,6.3,93.4,2
113.14,8.4,93.5,2
114.14,6.6,93.3,2
115.15,7.7,93.3,2
116.15,7.6,93.3,2
117.15,11.4,93.3,2
