elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,7.8,93.0,2
2.0,10.8,92.8,2
3.0,20.6,92.7,2
4.01,12.5,92.9,2
5.01,7.7,92.7,2
6.01,8.7,92.7,2
7.01,8.0,92.7,2
8.01,6.6,92.7,2
9.01,7.4,92.7,2
10.01,7.5,92.7,2
11.02,10.6,93.1,2
12.02,8.7,93.1,2
13.02,6.3,93.0,2
14.02,8.2,93.0,2
15.02,10.5,92.9,2
16.02,7.2,92.9,2
17.02,8.4,92.9,2
18.02,6.0,92.9,2
19.03,5.9,92.9,2
20.03,6.4,92.9,2
21.03,6.1,92.9,2
22.03,6.7,92.9,2
23.03,9.5,93.0,2
24.03,7.3,93.0,2
25.03,5.8,93.0,2
26.03,8.4,92.9,2
27.04,7.5,92.9,2
28.04,8.9,92.9,2
29.04,10.0,93.0,2
30.04,6.7,92.9,2
31.04,7.2,92.9,2
32.04,6.6,92.9,2
33.04,7.8,92.9,2
34.05,5.2,92.9,2
35.05,12.1,92.9,2
36.05,9.4,92.9,2
37.05,9.6,92.8,2
38.05,9.4,92.9,2
39.05,7.9,92.8,2
40.05,6.7,92.9,2
41.05,6.2,92.8,2
42.06,6.0,92.7,2
43.06,7.9,92.7,2
44.06,5.7,92.8,2
45.06,7.5,92.8,2
46.06,5.5,92.8,2
47.06,9.0,92.9,2
48.07,9.8,92.8,2
49.07,9.6,92.9,2
50.07,8.9,92.8,2
51.07,13.6,92.8,2
52.07,5.5,92.8,2
53.07,6.6,92.8,2
54.07,8.2,92.8,2
55.08,6.6,92.8,2
56.08,6.2,92.8,2
57.08,9.9,92.8,2
58.08,16.1,92.6,2
59.08,8.6,92.7,2
60.08,4.8,92.7,2
61.09,8.7,92.8,2
62.09,8.9,92.8,2
63.09,5.4,92.7,2
64.09,7.5,92.8,2
65.09,8.2,92.7,2
66.09,8.8,92.8,2
67.1,10.8,92.8,2
68.1,13.5,92.7,2
69.1,10.3,92.7,2
70.1,8.0,92.7,2
71.1,7.3,92.8,2
72.1,7.5,92.9,2
73.1,7.4,92.9,2
74.1,7.5,92.8,2
75.1,7.7,93.0,2
76.11,11.2,92.9,2
77.11,6.1,92.9,2
78.11,8.0,92.9,2
79.11,4.6,92.9,2
80.11,6.0,92.9,2
81.11,8.6,92.9,2
82.12,14.9,92.9,2
83.12,8.7,92.9,2
84.12,5.8,92.9,2
85.12,7.3,92.9,2
86.12,7.1,92.9,2
87.12,7.7,92.9,2
88.12,5.5,92.9,2
89.12,6.9,92.8,2
90.13,5.9,93.0,2
91.13,8.4,92.9,2
92.13,7.0,92.9,2
93.13,7.2,92.9,2
94.13,6.3,92.9,2
95.13,9.7,92.9,2
96.14,18.5,94.0,2
97.14,12.8,93.9,2
98.14,10.5,93.8,2
99.14,9.1,93.7,2
100.14,19.8,93.7,2
101.14,13.7,93.7,2
102.14,8.7,93.7,2
103.14,8.6,93.6,2
104.14,5.8,93.7,2
105.14,5.6,93.6,2
106.15,7.0,93.6,2
107.15,6.5,93.6,2
108.15,8.4,93.5,2
109.15,5.8,93.5,2
110.15,9.1,93.5,2
111.15,14.3,93.5,2
112.15,7.6,93.4,2
113.15,6.9,93.2,2
114.16,7.8,92.7,2
115.16,9.4,92.8,2
