elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,11.2,93.8,2
2.0,8.3,93.8,2
3.0,8.5,93.7,2
4.01,6.6,93.7,2
5.01,7.6,93.6,2
6.01,5.8,93.6,2
7.01,7.8,93.6,2
8.01,16.8,93.6,2
9.01,8.5,93.6,2
10.02,15.5,93.5,2
11.02,11.8,93.5,2
12.02,9.0,93.5,2
13.02,8.7,93.6,2
14.02,6.2,93.7,2
15.02,6.4,93.7,2
16.02,7.8,93.7,2
17.02,7.4,93.7,2
18.02,7.4,93.6,2
19.03,7.8,93.6,2
20.03,7.1,93.6,2
21.03,9.9,93.5,2
22.03,10.4,93.5,2
23.03,9.4,93.5,2
24.03,7.4,93.5,2
25.03,8.8,93.5,2
26.03,6.4,93.5,2
27.04,11.4,93.5,2
28.04,10.0,93.5,2
29.04,7.1,93.6,2
30.04,8.1,93.5,2
31.04,6.1,93.5,2
32.04,9.1,93.4,2
33.04,13.1,93.5,2
34.04,11.7,93.5,2
35.05,9.4,93.5,2
36.05,8.8,93.5,2
37.05,8.8,93.5,2
38.05,8.7,93.6,2
39.05,8.8,93.6,2
40.05,13.1,94.0,2
41.05,8.5,94.0,2
42.05,11.1,93.9,2
43.05,21.1,93.9,2
44.06,23.6,93.9,2
45.06,18.1,94.0,2
46.06,23.1,94.3,2
47.06,12.0,94.3,2
48.06,7.9,94.3,2
49.07,9.8,94.2,2
50.07,9.2,94.3,2
51.07,7.2,94.2,2
52.07,8.2,94.1,2
53.07,8.4,94.1,2
54.07,7.9,94.1,2
55.07,6.6,94.1,2
56.07,10.0,94.2,2
57.07,7.1,94.2,2
58.08,6.2,94.2,2
59.08,13.3,94.3,2
60.08,14.2,93.9,2
61.08,27.5,94.2,2
62.08,9.1,94.2,2
63.08,9.0,94.1,2
64.08,9.5,94.0,2
65.09,10.6,94.0,2
66.09,7.4,94.0,2
67.09,6.8,93.9,2
68.09,9.9,94.0,2
69.09,8.6,94.0,2
70.09,7.9,94.0,2
71.09,6.4,93.9,2
72.09,10.2,94.0,2
73.1,17.2,94.1,2
74.1,6.5,94.0,2
75.1,14.0,94.0,2
76.1,12.4,94.0,2
77.1,10.2,93.9,2
78.1,27.3,94.1,2
79.1,7.1,94.0,2
80.11,8.4,94.0,2
81.11,11.1,94.1,2
82.11,8.5,94.0,2
83.11,8.6,94.0,2
84.11,9.5,94.0,2
85.11,9.9,94.1,2
86.11,11.1,94.2,2
87.11,10.7,94.1,2
88.11,9.4,94.1,2
89.12,9.2,94.0,2
90.12,10.4,94.2,2
91.12,7.7,94.2,2
92.12,7.7,94.2,2
93.12,7.4,94.2,2
94.12,8.9,94.1,2
95.12,10.1,94.1,2
96.12,12.9,94.1,2
97.12,18.9,94.3,2
98.12,11.2,94.3,2
99.13,11.7,94.3,2
100.13,8.9,94.3,2
101.13,12.2,94.3,2
102.13,8.9,94.3,2
103.13,11.8,94.3,2
104.13,12.2,94.3,2
105.13,7.9,94.3,2
106.13,11.6,94.3,2
107.14,11.2,94.4,2
108.14,12.8,94.4,2
109.14,8.4,94.4,2
110.14,9.6,94.5,2
111.14,7.6,94.5,2
112.14,7.6,94.5,2
113.14,6.5,94.4,2
114.15,7.1,94.4,2
115.15,9.2,94.5,2
116.15,8.1,94.4,2
117.15,7.7,94.3,2
118.15,9.2,94.3,2
119.15,9.7,94.3,2
120.16,15.4,94.3,2
121.16,13.2,94.5,2
122.16,6.8,94.4,2
123.17,10.1,94.3,2
124.17,27.9,94.3,2
125.17,8.5,94.4,2
126.17,9.3,94.4,2
127.17,13.2,94.3,2
128.17,8.6,94.3,2
129.17,9.5,94.3,2
130.18,6.8,94.2,2
131.18,6.4,94.3,2
132.18,8.3,94.2,2
133.18,8.3,94.1,2
134.19,12.7,94.1,2
