elapsed_time_sec,cpu_usage_percent,memory_usage_percent,active_instances
1.0,18.1,89.0,1
2.0,31.8,89.0,1
3.01,8.7,89.0,1
4.01,18.3,89.0,1
5.01,22.3,89.0,1
6.01,22.9,89.0,1
7.01,21.5,89.2,1
8.02,36.0,89.4,1
9.02,24.0,89.7,1
10.02,13.5,89.7,1
11.03,24.7,89.6,1
12.03,11.0,89.3,1
13.03,8.9,89.2,1
14.03,15.6,89.2,1
15.03,18.3,89.4,1
16.03,15.7,89.4,1
17.03,14.3,89.5,1
18.03,18.4,89.5,1
19.04,10.5,89.4,1
20.04,24.6,89.1,1
21.04,8.6,89.1,1
22.04,13.8,89.1,1
23.04,23.5,89.1,1
24.04,25.5,89.2,1
25.04,24.9,89.2,1
26.04,28.8,89.2,1
27.05,16.3,89.2,1
28.05,33.8,89.2,1
29.05,36.0,89.3,1
30.05,11.1,89.2,1
31.05,6.8,89.1,1
32.05,9.6,89.1,1
33.05,11.5,89.1,1
34.05,10.7,89.1,1
35.05,21.7,89.1,1
36.05,22.2,89.2,1
37.05,48.7,89.2,1
38.06,32.9,89.2,1
39.06,16.7,89.2,1
40.06,15.0,89.1,1
41.06,18.5,89.1,1
42.06,20.8,89.0,1
43.06,16.9,88.9,1
44.07,26.6,89.9,1
45.07,20.4,90.0,1
46.07,34.7,90.0,1
47.07,23.6,90.1,1
48.07,42.7,90.2,1
49.07,36.5,90.4,1
50.08,29.6,90.4,1
51.08,30.2,90.7,1
52.08,12.9,90.7,1
53.08,10.5,90.6,1
54.08,18.7,90.5,1
55.08,24.1,90.5,1
56.09,34.1,90.6,1
57.09,17.1,90.6,1
58.09,11.1,90.5,1
59.09,18.1,90.3,1
60.09,11.3,90.3,1
61.09,10.9,90.3,1
62.1,17.2,90.1,1
63.1,25.4,90.2,1
64.1,14.0,90.2,1
65.1,11.0,90.2,1
66.1,11.3,90.1,1
67.1,18.5,90.1,1
68.1,15.3,90.1,1
69.1,29.9,90.3,1
70.1,12.7,90.3,1
71.11,13.2,90.4,1
72.11,32.5,90.3,1
73.11,26.6,90.3,1
74.11,11.3,90.4,1
75.11,9.2,90.4,1
76.11,11.4,90.3,1
77.11,17.6,89.9,1
78.11,10.2,90.0,1
79.11,14.3,90.0,1
80.11,21.5,89.3,1
81.12,15.3,89.2,1
82.12,12.9,89.3,1
83.12,54.9,89.5,1
84.12,47.3,89.5,1
85.12,46.8,89.6,1
86.12,25.2,89.9,1
87.13,23.0,89.9,1
88.13,42.2,90.0,1
89.13,71.8,90.1,1
90.13,38.1,90.2,1
91.13,21.8,90.3,1
92.13,37.4,90.2,1
93.13,39.5,90.2,1
94.14,46.0,90.2,1
95.14,43.0,90.2,1
96.14,37.2,90.3,1
97.14,21.7,90.3,1
98.14,21.2,90.3,1
99.14,22.6,90.5,1
100.15,25.3,90.6,1
101.15,24.0,90.6,1
102.15,20.5,90.7,1
103.15,55.8,90.7,1
104.16,47.5,90.7,1
105.16,32.8,90.8,1
106.16,32.7,90.8,1
107.16,30.1,91.1,1
108.18,56.6,92.0,1
109.19,82.8,91.3,1
110.2,42.6,91.4,1
111.2,80.1,91.5,1
112.21,41.1,91.5,1
113.24,73.6,91.5,1
114.24,43.5,91.5,1
115.25,45.2,91.3,1
116.26,36.9,91.4,1
117.26,19.0,91.5,1
118.26,28.4,91.4,1
119.26,21.4,91.3,1
120.26,26.8,91.4,1
121.26,23.8,91.4,1
122.26,20.0,91.1,1
123.26,19.4,91.1,1
124.26,33.8,91.0,1
125.27,24.2,91.0,1
126.27,23.7,90.9,1
127.27,26.2,91.1,1
128.27,18.0,91.1,1
129.27,24.0,91.0,1
130.27,17.8,91.1,1
131.27,20.4,91.4,1
132.28,35.5,91.5,1
133.28,29.4,91.4,1
134.28,18.1,91.5,1
135.28,19.6,91.3,1
136.28,33.2,91.2,1
137.29,46.9,91.5,1
138.29,39.4,91.7,1
139.29,37.6,91.4,1
140.29,28.9,91.4,1
141.3,30.2,91.3,1
142.3,22.2,91.3,1
143.3,26.1,91.5,1
144.3,26.6,91.5,1
145.3,19.2,91.3,1
146.3,21.6,91.2,1
147.3,17.8,91.5,1
148.3,9.5,91.4,1
149.31,50.5,91.6,1
150.31,22.2,91.6,1
151.31,22.6,91.5,1
152.31,17.9,91.6,1
153.31,13.2,91.6,1
154.31,18.1,91.6,1
155.31,11.6,91.2,1
156.31,18.0,91.2,1
157.32,15.1,90.9,1
158.32,29.7,90.8,1
159.32,11.6,90.9,1
160.32,16.7,91.2,1
161.32,14.4,91.2,1
162.32,15.9,91.3,1
163.32,13.6,91.1,1
164.33,15.8,91.2,1
165.33,21.4,91.2,1
166.33,27.7,91.1,1
167.33,18.7,90.9,1
168.33,21.8,90.6,1
169.33,13.4,90.6,1
170.33,24.6,90.8,1
171.33,26.5,90.7,1
172.33,9.7,90.6,1
173.34,11.5,90.7,1
174.34,16.9,90.9,1
175.34,10.9,90.9,1
176.34,15.0,90.9,1
177.34,14.3,91.0,1
178.34,23.2,90.9,1
179.34,19.0,90.7,1
180.34,12.8,90.7,1
181.34,19.3,90.7,1
182.35,17.4,90.6,1
183.35,12.9,90.8,1
184.35,18.1,90.8,1
185.35,15.4,91.0,1
186.35,38.0,91.1,1
187.35,15.2,91.0,1
188.35,20.8,90.9,1
189.35,16.7,91.0,1
190.36,26.0,90.9,1
191.36,16.3,90.8,1
192.36,26.2,90.8,1
193.36,15.7,90.7,1
194.36,22.0,90.7,1
195.36,12.2,90.7,1
196.36,21.7,90.7,1
197.36,17.2,90.6,1
198.37,36.3,90.7,1
199.37,16.3,90.7,1
