Laptop,Scenario,Workload,Instances,CPU Avg (%),CPU Max (%),Mem Avg (%),Mem Max (%),Total Request,Success,Failed,Latency (s),Throughput (req/s)
C:\---\elasticity-project\hasil-1,baseline,beban rendah,1,9.86,33.7,93.72,95.7,100,100,0,2.0586,0.97
C:\---\elasticity-project\hasil-1,baseline,beban sedang,1,9.26,25.4,92.49,94.9,200,200,0,2.0562,1.94
C:\---\elasticity-project\hasil-1,baseline,beban tinggi,1,10.69,28.3,92.98,93.8,300,300,0,2.0581,2.43
C:\---\elasticity-project\hasil-1,scale-in,beban rendah,1,11.45,28.6,94.47,95.1,100,100,0,2.0556,0.97
C:\---\elasticity-project\hasil-1,scale-in,beban sedang,1,9.42,17.8,90.12,90.8,200,200,0,2.0539,1.95
C:\---\elasticity-project\hasil-1,scale-in,beban tinggi,1,9.04,29.3,89.61,90.0,300,300,0,2.0571,2.43
C:\---\elasticity-project\hasil-1,scale-out,beban-rendah,2,9.83,36.8,93.59,94.0,100,100,0,2.0549,0.97
C:\---\elasticity-project\hasil-1,scale-out,beban-sedang,2,8.46,20.6,92.97,94.0,200,200,0,2.0541,1.95
C:\---\elasticity-project\hasil-1,scale-out,beban-tinggi,2,10.23,27.9,94.01,94.5,300,300,0,2.0534,2.43
C:\---\elasticity-project\hasil-2,baseline,beban rendah,1,24.2,82.8,90.43,92.0,100,100,0,2.0597,0.97
C:\---\elasticity-project\hasil-2,baseline,beban sedang,1,16.41,62.1,90.76,91.5,200,200,0,2.063,1.94
C:\---\elasticity-project\hasil-2,baseline,beban tinggi,1,16.58,70.9,90.25,91.3,300,300,0,2.0665,2.42
C:\---\elasticity-project\hasil-2,scale-in,beban rendah,1,6.92,27.6,82.52,83.9,100,100,0,2.0632,0.97
C:\---\elasticity-project\hasil-2,scale-in,beban sedang,1,5.18,33.2,81.27,82.5,200,200,0,2.0613,1.94
C:\---\elasticity-project\hasil-2,scale-in,beban tinggi,1,8.75,35.1,81.08,81.6,300,300,0,2.0688,2.42
C:\---\elasticity-project\hasil-2,scale-out,beban-rendah,2,17.33,79.0,85.14,89.4,100,100,0,2.0649,0.97
C:\---\elasticity-project\hasil-2,scale-out,beban-sedang,2,9.76,47.1,83.03,84.2,200,200,0,2.0616,1.94
C:\---\elasticity-project\hasil-2,scale-out,beban-tinggi,2,12.26,72.9,83.28,86.8,300,300,0,2.0669,2.42
